Security Code,Security Id,Security Name
500878,CEATLTD,CEAT LTD.
500890,MODIRUBBER,MODI RUBBER LTD.
500940,FINOLEXIND,FINOLEX INDUSTRIES LTD.
501110,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.
501111,ZGOLDINV,GOLD ROCK INVESTMENTS LTD.
501144,PEOPLIN,PEOPLES INVESTMENTS LTD.
501148,DSINVEST,DALAL STREET INVESTMENTS LTD.
501150,CENTRUM,CENTRUM CAPITAL LTD.
501151,KARTKIN,KARTIK INVESTMENTS TRUST LTD.
501242,TCIFINANCE,TCI FINANCE LTD.
501261,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.
501270,ANTARIKSH,Antariksh Industries Ltd
501295,IITL,INDUSTRIAL INVESTMENT TRUST LTD.
501298,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.
501301,TATAINVEST,TATA INVESTMENT CORPORATION LTD.
501311,JAYBHCR,JAYABHARAT CREDIT LTD.-$
501314,PRISMX,Prismx Global Ventures Ltd
501343,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.
501351,RAPIDIN,RAPID INVESTMENTS LTD.
501370,WALCHPF,WALCHAND PEOPLEFIRST LTD.
501386,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.
501391,WHBRADY,W.H.BRADY & CO.LTD.
501423,SHAILY,SHAILY ENGINEERING PLASTICS LTD.
501425,BBTC,BOMBAY BURMAH TRADING CORP.LTD.
501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.
501455,GREAVESCOT,GREAVES COTTON LTD.
501477,MULLER,MULLER & PHIPPS (INDIA) LTD.
501622,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
501630,ANANDPROJ,Anand Projects Ltd
501700,INDIANVSH,INDIANIVESH LTD.
501831,COASTCORP,COASTAL CORPORATION LTD.
501833,CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
501848,GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$
501945,DHENUBUILD,DHENU BUILDCON INFRA LTD.
502015,ASIIL,ASI Industries Ltd
502090,SAGCEM,SAGAR CEMENTS LTD.-$
502137,DECCANCE,DECCAN CEMENTS LTD.-$
502157,MANGLMCEM,MANGALAM CEMENT LTD.
502168,NCLIND,NCL INDUSTRIES LTD.-$
502175,SAURASHCEM,SAURASHTRA CEMENT LTD.
502180,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$
502216,BOMBPOT,BOMBAY POTTERIES & TILES LTD.
502219,BORORENEW,Borosil Renewables Ltd
502250,LERTHAI,Lerthai Finance Ltd
502281,TRIVENIGQ,TRIVENI GLASS LTD.-$
502294,NILACHAL,NILACHAL REFRACTORIES LTD.
502330,ANDHRAPAP,Andhra Paper Ltd
502355,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$
502420,ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.
502445,CITADEL,CITADEL REALTY AND DEVELOPERS LTD.
502448,ROLLT,ROLLATAINERS LTD.
502450,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.
502460,SOLIDCO,SOLID CONTAINERS LTD.
